year,country,image_url,region_code,region,gdp_per_capita,family,social_support,health_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2015,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142.0,Asia,0.31982,0.30285,,0.30335,0.23414,0.3651,
2018,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142.0,Asia,0.332,,0.537,0.255,0.085,0.191,0.036
2019,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142.0,Asia,0.35,,0.517,0.361,0.0,0.158,0.025
2016,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142.0,Asia,0.38227,0.11037,,0.17344,0.1643,0.31268,
2017,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142.0,Asia,0.401477218,0.581543326,,0.180746779,0.10617952,0.311870933,
2015,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150.0,Europe,0.87867,0.80434,,0.81325,0.35733,0.14272,
2018,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150.0,Europe,0.916,,0.817,0.79,0.419,0.149,0.032
2019,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150.0,Europe,0.947,,0.848,0.874,0.383,0.178,0.027
2016,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150.0,Europe,0.9553,0.50163,,0.73007,0.31866,0.1684,
2017,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150.0,Europe,0.996192753,0.803685248,,0.731159747,0.381498635,0.201312944,
2015,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2.0,Africa,0.93929,1.07772,,0.61766,0.28579,0.07822,
2018,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2.0,Africa,0.979,,1.154,0.687,0.077,0.055,0.135
2019,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2.0,Africa,1.002,,1.16,0.785,0.086,0.073,0.114
2016,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2.0,Africa,1.05266,0.83309,,0.61804,0.21006,0.07044,
2017,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2.0,Africa,1.091864467,1.146217465,,0.617584646,0.233335808,0.069436647,
2018,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,2.0,Africa,0.73,,1.125,0.269,0.0,0.079,0.061
2015,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,2.0,Africa,0.75778,0.8604,,0.16683,0.10384,0.12344,
2016,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,2.0,Africa,0.84731,0.66366,,0.04991,0.00589,0.12071,
2017,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,2.0,Africa,0.85842818,1.10441196,,0.049868666,0.0,0.09792649,
